doc_Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
names,Alb,Alberta,Andor,Antig,Argen,Armen,Aus,Australia,Baham,Bahr,Bangla,Barba,BC,Bel,Belize,Benin,Bermu,Bhutan,Bosni,Botsw,Brazil,Bulg,Cali,Cape,Cayman,Chile,China,Colo,Colom,Conn,Conv108,Costa,Cuba,Cura,Cyp,Czecho,DenPriv,DenPub,DPD,DR,Fin,Fran,GDPR,Georgia,Ger,Ghana,Greece,Hun,Ice,India,Iowa,Ireland,Isra,Ital,Jam,Japan,Keny,Kosov,Kyrgz,Latv,Leban,Liecht,Lith,Lux,Mace,Mada,Malaw,Malay,Mali,Malt,Mauritania,Mauritius,Mex,Moldo,Monaco,Monten,Nepal,Nether,Nigeria,Nor,NZ,OECD,Ontario,Parag,Peru,Philip,Pol,Port,Qatar,Roman,Russ,Rwan,SAF,Saudi,Seneg,Serb,Seyc,Singa,SKor,Sloven,SM,Spain,SriL,StKitts,StLuc,Swed,Swiss,Taiwan,Tajik,Thai,Trini,Tunisia,Turk,UAE,UK,Ukraine,USA,Utah,Uzbek,Virginia,Yem,Zambia,Zim
years,2008,2003,2003,2013,2000,2015,1978,1988,2003,2018,2006,2019,1996,1992,2021,2009,2016,2017,2001,2018,2018,2002,2018,2001,2017,1999,2016,2021,2008,2022,1981,2011,2022,2010,2002,1992,1978,1978,1995,2013,1987,1978,2016,2011,1977,2012,1997,1992,1981,0,2023,1988,1981,1996,2020,2003,2019,2010,2008,2000,2018,2002,1996,1979,2005,2014,2016,2010,2013,2001,2017,2017,2010,2007,1993,2009,2018,1989,2019,1978,1993,1980,2004,2001,2011,2012,1997,1991,2016,2001,2006,2021,2013,2021,2008,2008,2003,2012,2011,1990,1995,1992,2022,2018,2009,1973,1992,1995,2018,2019,2011,2004,2016,2021,1984,2010,1974,2022,2019,2021,2012,2021,2021
